CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
159,10233,1,0,0,2018-09-28 16:23:18.717,1,1001,1,-1
160,10009,1,0,0,2018-09-28 16:23:57.773,1,1001,1,-1
161,10015,1,0,0,2018-09-28 16:24:18.407,1,1001,1,-1
162,10021,1,0,0,2018-09-28 16:26:56.447,1,1001,1,-1
162,10021,35,0,0,2018-09-28 16:27:25.927,1,1001,1,-1
164,10017,1,0,0,2018-09-28 16:27:50.860,1,1001,1,-1
164,10017,35,0,0,2018-09-28 16:28:15.810,1,1001,1,-1
166,10007,1,0,0,2018-09-28 16:29:55.170,1,1001,1,-1
166,10007,35,0,0,2018-09-28 16:30:18.937,1,1001,1,-1
167,10007,35,0,0,2018-09-28 16:30:29.823,1,1001,1,-1
169,10013,1,0,0,2018-09-28 16:30:59.753,1,1001,1,-1
169,10013,35,0,0,2018-09-28 16:31:20.143,1,1001,1,-1
171,10023,1,0,0,2018-09-28 16:31:44.863,1,1001,1,-1
172,10005,1,0,0,2018-09-28 16:32:02.210,1,1001,1,-1
173,10257,1,0,0,2018-09-28 16:34:41.280,1,1001,1,-1
173,10257,35,0,0,2018-09-28 16:34:59.993,1,1001,1,-1
175,10215,1,0,0,2018-09-28 16:37:50.457,1,1001,1,-1
176,10234,1,0,0,2018-09-28 16:38:07.130,1,1001,1,-1
177,10236,1,0,0,2018-09-28 16:38:28.393,1,1001,1,-1
177,10236,35,0,0,2018-09-28 16:38:49.597,1,1001,1,-1
179,10263,1,0,0,2018-09-28 16:39:27.620,1,1001,1,-1
179,10263,35,0,0,2018-09-28 16:39:46.827,1,1001,1,-1
180,10263,35,0,0,2018-09-28 16:39:59.613,1,1001,1,-1
182,10042,1,0,0,2018-09-28 16:45:55.907,1,1001,1,-1
182,10042,35,0,0,2018-09-28 16:46:16.963,1,1001,1,-1
184,10030,1,0,0,2018-09-28 16:46:45.270,1,1001,1,-1
184,10030,35,0,0,2018-09-28 16:47:05.643,1,1001,1,-1
185,10030,35,0,0,2018-09-28 16:47:16.380,1,1001,1,-1
187,10038,1,0,0,2018-09-28 16:47:42.787,1,1001,1,-1
187,10038,35,0,0,2018-09-28 16:48:01.290,1,1001,1,-1
189,10028,1,0,0,2018-09-28 16:48:19.897,1,1001,1,-1
189,10028,35,0,0,2018-09-28 16:48:42.707,1,1001,1,-1
191,10039,1,0,0,2018-09-28 16:50:36.890,1,1001,1,-1
192,10041,1,0,0,2018-09-28 16:50:59.990,1,1001,1,-1
193,10040,1,0,0,2018-09-28 16:51:28.597,1,1001,1,-1
194,10029,1,0,0,2018-09-28 16:51:46.987,1,1001,1,-1
195,10025,1,0,0,2018-09-28 16:52:08.587,1,1001,1,-1
195,10025,35,0,0,2018-09-28 16:52:27.553,1,1001,1,-1
197,10036,1,0,0,2018-09-28 16:52:53.170,1,1001,1,-1
198,10035,1,0,0,2018-09-28 16:53:19.017,1,1001,1,-1
199,10143,1,0,0,2018-09-29 10:05:48.317,1,1001,1,-1
200,10142,1,0,0,2018-09-29 10:06:46.970,1,1001,1,-1
201,10150,1,0,0,2018-09-29 10:08:48.953,1,1001,1,-1
202,10135,1,0,0,2018-09-29 10:10:16.347,1,1001,1,-1
203,10123,1,0,0,2018-09-29 10:10:34.920,1,1001,1,-1
204,10136,1,0,0,2018-09-29 10:11:02.130,1,1001,1,-1
204,10136,35,0,0,2018-09-29 10:11:28.217,1,1001,1,-1
206,10156,1,0,0,2018-09-29 10:13:11.217,1,1001,1,-1
207,10129,1,0,0,2018-09-29 10:13:30.910,1,1001,1,-1
207,10129,35,0,0,2018-09-29 10:13:51.557,1,1001,1,-1
209,10134,1,0,0,2018-09-29 10:16:32.470,1,1001,1,-1
209,10134,35,0,0,2018-09-29 10:16:51.750,1,1001,1,-1
210,10134,35,0,0,2018-09-29 10:17:03.877,1,1001,1,-1
211,10134,35,0,0,2018-09-29 10:17:14.520,1,1001,1,-1
213,10100,1,0,0,2018-09-29 10:17:38.393,1,1001,1,-1
213,10100,35,0,0,2018-09-29 10:18:04.337,1,1001,1,-1
214,10100,35,0,0,2018-09-29 10:18:14.877,1,1001,1,-1
215,10100,35,0,0,2018-09-29 10:18:25.590,1,1001,1,-1
216,10100,35,0,0,2018-09-29 10:18:36.500,1,1001,1,-1
218,10125,1,0,0,2018-09-29 10:19:00.650,1,1001,1,-1
219,10093,1,0,0,2018-09-29 10:19:24.027,1,1001,1,-1
219,10093,35,0,0,2018-09-29 10:19:46.637,1,1001,1,-1
220,10093,35,0,0,2018-09-29 10:19:56.380,1,1001,1,-1
221,10093,35,0,0,2018-09-29 10:20:06.960,1,1001,1,-1
223,10102,1,0,0,2018-09-29 10:20:24.743,1,1001,1,-1
224,10103,1,0,0,2018-09-29 10:20:40.457,1,1001,1,-1
225,10095,1,0,0,2018-09-29 10:21:03.040,1,1001,1,-1
226,10128,1,0,0,2018-09-29 10:21:24.033,1,1001,1,-1
226,10128,35,0,0,2018-09-29 10:21:44.350,1,1001,1,-1
228,10154,1,0,0,2018-09-29 10:22:08.720,1,1001,1,-1
229,10101,1,0,0,2018-09-29 10:22:27.693,1,1001,1,-1
229,10101,35,0,0,2018-09-29 10:22:51.963,1,1001,1,-1
230,10101,35,0,0,2018-09-29 10:23:02.380,1,1001,1,-1
231,10101,35,0,0,2018-09-29 10:23:13.293,1,1001,1,-1
233,10099,1,0,0,2018-09-29 10:24:29.383,1,1001,1,-1
234,10091,1,0,0,2018-09-29 10:24:50.397,1,1001,1,-1
234,10091,35,0,0,2018-09-29 10:25:14.337,1,1001,1,-1
235,10091,35,0,0,2018-09-29 10:25:24.953,1,1001,1,-1
237,10096,1,0,0,2018-09-29 10:25:45.493,1,1001,1,-1
238,10086,1,0,0,2018-09-29 10:26:03.093,1,1001,1,-1
238,10086,35,0,0,2018-09-29 10:26:23.237,1,1001,1,-1
240,10090,1,0,0,2018-09-29 10:26:45.913,1,1001,1,-1
240,10090,35,0,0,2018-09-29 10:27:06.300,1,1001,1,-1
242,10550,1,0,0,2018-09-29 10:28:28.207,1,1001,1,-1
242,10550,35,0,0,2018-09-29 10:28:48.657,1,1001,1,-1
244,10106,1,0,0,2018-09-29 10:29:56.357,1,1001,1,-1
244,10106,35,0,0,2018-09-29 10:30:18.190,1,1001,1,-1
246,10108,1,0,0,2018-09-29 10:30:39.233,1,1001,1,-1
247,10107,1,0,0,2018-09-29 10:30:56.997,1,1001,1,-1
247,10107,35,0,0,2018-09-29 10:31:23.003,1,1001,1,-1
249,10161,1,0,0,2018-09-29 10:31:43.577,1,1001,1,-1
249,10161,35,0,0,2018-09-29 10:32:02.573,1,1001,1,-1
251,10104,1,0,0,2018-09-29 10:32:19.883,1,1001,1,-1
252,10105,1,0,0,2018-09-29 10:32:37.237,1,1001,1,-1
252,10105,35,0,0,2018-09-29 10:32:59.590,1,1001,1,-1
254,10127,1,0,0,2018-09-29 10:36:42.257,1,1001,1,-1
254,10127,35,0,0,2018-09-29 10:37:05.597,1,1001,1,-1
256,10152,1,0,0,2018-09-29 10:37:29.737,1,1001,1,-1
256,10152,35,0,0,2018-09-29 10:37:51.743,1,1001,1,-1
258,10121,1,0,0,2018-09-29 10:38:11.217,1,1001,1,-1
259,10122,1,0,0,2018-09-29 10:38:28.430,1,1001,1,-1
259,10122,35,0,0,2018-09-29 10:38:45.443,1,1001,1,-1
261,10145,1,0,0,2018-09-29 10:39:14.057,1,1001,1,-1
261,10145,35,0,0,2018-09-29 10:39:39.770,1,1001,1,-1
263,10160,1,0,0,2018-09-29 10:40:04.677,1,1001,1,-1
264,10148,1,0,0,2018-09-29 10:40:21.570,1,1001,1,-1
264,10148,35,0,0,2018-09-29 10:40:40.703,1,1001,1,-1
266,10124,1,0,0,2018-09-29 10:41:29.997,1,1001,1,-1
266,10124,35,0,0,2018-09-29 10:41:49.863,1,1001,1,-1
268,10146,1,0,0,2018-09-29 10:42:08.607,1,1001,1,-1
269,10162,1,0,0,2018-09-29 10:42:27.303,1,1001,1,-1
270,10140,1,0,0,2018-09-29 10:42:56.633,1,1001,1,-1
270,10140,35,0,0,2018-09-29 10:43:18.800,1,1001,1,-1
271,10140,35,0,0,2018-09-29 10:43:27.877,1,1001,1,-1
273,10159,1,0,0,2018-09-29 10:43:44.970,1,1001,1,-1
274,10120,1,0,0,2018-09-29 10:44:03.013,1,1001,1,-1
275,10119,1,0,0,2018-09-29 10:44:19.767,1,1001,1,-1
275,10119,35,0,0,2018-09-29 10:44:37.053,1,1001,1,-1
277,10085,1,0,0,2018-09-29 10:45:03.700,1,1001,1,-1
277,10085,35,0,0,2018-09-29 10:45:27.473,1,1001,1,-1
279,10155,1,0,0,2018-09-29 10:46:29.573,1,1001,1,-1
280,10112,1,0,0,2018-09-29 10:48:55.777,1,1001,1,-1
281,10115,1,0,0,2018-09-29 10:49:12.697,1,1001,1,-1
281,10115,35,0,0,2018-09-29 10:49:29.000,1,1001,1,-1
282,10115,35,0,0,2018-09-29 10:49:39.313,1,1001,1,-1
283,10115,35,0,0,2018-09-29 10:49:47.937,1,1001,1,-1
284,10115,35,0,0,2018-09-29 10:49:57.720,1,1001,1,-1
286,10113,1,0,0,2018-09-29 10:50:16.497,1,1001,1,-1
287,10109,1,0,0,2018-09-29 10:50:34.870,1,1001,1,-1
287,10109,35,0,0,2018-09-29 10:50:54.653,1,1001,1,-1
