sn_num,name,remark_pictures_text,unit_id
1007157,内科住院部二楼三排左一,"http://cdn-app.diandingding.com/upload/18662995918/9d419dea-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/9d419412-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/9d41aa4c-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/9d41a4e8-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/9d41af4c-094c-11e7-b33b-00163e012235",96
1007158,针灸大厅1,"http://cdn-app.diandingding.com/upload/18662995918/3cf8afe0-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/3cf8a946-0952-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/3cf89f32-0952-11e7-b33b-00163e012235",96
1007159,内科住院部二楼一排左一,"http://cdn-app.diandingding.com/upload/18662995918/6fb65910-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6fb66658-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6fb66d24-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6fb673f0-094c-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/6fb67d82-094c-11e7-b33b-00163e012235",96
1007160,内科住院部一楼二排左一2,"http://cdn-app.diandingding.com/upload/18662995918/cce1f1a6-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/cce1ea12-0949-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/cce1dea0-0949-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007161,内科住院部一楼一排左一,"http://cdn-app.diandingding.com/upload/18662995918/a6897348-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/a6896358-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/a6896d4e-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ad66bab8-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ad66a500-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/ad66ae9c-094a-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007162,放射科,"http://cdn-app.diandingding.com/upload/18662995918/e1034560-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/e1035712-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/e1035c8a-0956-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/e1034e98-0956-11e7-b33b-00163e012235",96
1007163,住院部一楼电箱,"http://cdn-app.diandingding.com/upload/18662995918/31fa19a6-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/31fa0772-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/31fa12b2-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/3845ae9c-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/3845b8f6-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/3845c454-094a-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007164,内科住院部一楼二排左二1,"http://cdn-app.diandingding.com/upload/18662995918/58cf4880-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/58cf41d2-094a-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/5dbceb22-094a-11e7-b33b-00163e012235,http://7xlj12.com2.z0.glb.qini",96
1007165,外科住院部一楼左三,"http://cdn-app.diandingding.com/upload/18662995918/27b907cc-094f-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/27b9029a-094f-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/27b8fd04-094f-11e7-b33b-00163e012235",96
1007167,内科住院部二楼一排左二,"http://cdn-app.diandingding.com/upload/18662995918/2c8ade6c-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/2c8abff4-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/2c8ad69c-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/2c8ad11a-094d-11e7-b33b-00163e012235,http://cdn-app.diandingding.com/upload/18662995918/2c8acb48-094d-11e7-b33b-00163e012235",96
